"","filename","speaker","iteration","word","harmony_type","v1","v2","f1_v1_t1","f2_v1_t1","f1_v1_t2","f2_v1_t2","f1_v1_t3","f2_v1_t3","f1_v1_t4","f2_v1_t4","f1_v1_t5","f2_v1_t5","f1_v1_t6","f2_v1_t6","f1_v1_t7","f2_v1_t7","f1_v1_t8","f2_v1_t8","f1_v1_t9","f2_v1_t9","f1_v1_t10","f2_v1_t10","f1_v2_t1","f2_v2_t1","f1_v2_t2","f2_v2_t2","f1_v2_t3","f2_v2_t3","f1_v2_t4","f2_v2_t4","f1_v2_t5","f2_v2_t5","f1_v2_t6","f2_v2_t6","f1_v2_t7","f2_v2_t7","f1_v2_t8","f2_v2_t8","f1_v2_t9","f2_v2_t9","f1_v2_t10","f2_v2_t10"
"2228","f11_frame_rep1","f11","1","teɮijg","non-harmonic","e","i",350.15,2271.09,360.87,2287.23,367.93,2320.53,371.62,2319.67,374.34,2316.34,374.77,2320.96,373.62,2312.29,370.88,2290.15,365.4,2252.83,358.94,2216.48,415.27,2437.81,305.68,2353.87,330.42,2369.5,355.16,2385.14,366.87,2405.85,375.82,2427.64,383.35,2444.44,385.07,2440.81,386.78,2437.18,388.45,2439.93
"2229","f11_frame_rep1","f11","1","ʦ͡aːrʊːɮ","ATR","aː","ʊː",664.1,1477.48,763.59,1475.63,881,1511.05,931.81,1539.35,934.25,1532.37,953.32,1525.69,952.42,1561.41,964.63,1584.7,946.01,1616.77,907.41,1617.9,537.98,1250.67,538.09,1217.8,536.71,1182.78,516.52,1076.99,500.54,1017.51,495.91,982.61,496.49,954.7,503.64,934.85,527.58,903.11,564.11,873.73
"2230","f11_frame_rep1","f11","1","teɮguːr","ATR","e","uː",416.8,2323.58,355.24,2322.65,362.81,2317.71,366.65,2301.25,368.98,2280.14,368.31,2256.19,366.55,2231.2,365.74,2212.74,365.26,2196.44,360.68,2166.9,372.99,1040.32,386.42,894.72,395.22,834.26,406.97,841.34,417.82,820.34,423.51,767.99,427.65,716.62,425.79,776.75,424.58,914.06,420.11,966.55
"2231","f11_frame_rep1","f11","1","xɔjor","non-harmonic","ɔ","o",918.24,949.37,624.69,1014.74,529.12,1084.38,567.45,1157.82,563.15,1235.28,573.47,1322.26,582.51,1407.84,577.1,1482.73,559.71,1560.59,540.09,1619.68,399.26,2010.84,399.35,2010.42,398.73,2019.07,398.02,2033.07,396.75,2084.27,395.48,2135.48,734.78,2445.91,1279.56,2912.75,1761.61,3323.87,1791.28,3333.05
"2232","f11_frame_rep1","f11","1","teɮger","ATR","e","e",379.19,2175.97,390.1,2230.9,396.82,2274.6,400.13,2305.24,400.05,2322.9,398.1,2340.53,394.44,2358.13,389.2,2384.25,382.64,2417.43,370.68,2423.52,309.57,2125.02,339.06,2105.44,361.36,2084.84,383.23,2063.43,394.27,2021.83,405.31,1980.24,414.05,1945.54,420.26,1918.46,426.46,1891.37,427.35,1849.56
"2233","f11_frame_rep1","f11","1","suɮijg","non-harmonic","u","i",1535.28,2757.93,1480.29,2658.68,1216.68,2344.74,521.03,1587.62,301.4,1277.49,349.12,1218.41,355.55,1257.84,358.07,1316.96,354.43,1414.95,345.75,1515.4,428.31,2080.22,290.62,2063.6,306.6,2055.76,322.58,2047.91,351.4,2032.58,381.63,2016.43,401.39,2042.66,407.24,2125.32,413.09,2207.98,414.11,2230.59
"2234","f11_frame_rep1","f11","1","taɮiːg","non-harmonic","a","iː",660.39,1840.69,655.14,1698.55,680.84,1601.98,744.68,1615.29,751.1,1614.5,768.24,1626.94,787.83,1643.11,749.23,1602.18,698.82,1565.98,642.99,1539.31,431.74,2012.43,411.02,2089.59,405.88,2254.97,404.82,2231.49,394.11,2251.59,367.45,2445.99,324.5,2556.38,517.79,2504.52,389.75,2067.48,142.44,1859.6
"2235","f11_frame_rep1","f11","1","teɮeːr","ATR","e","eː",349.41,2335.58,357.61,2311.13,363.85,2296.06,367.29,2294.41,368.83,2298.34,367.77,2309.88,366.5,2324.44,364.98,2342.91,362.34,2356.86,358.31,2365.24,382.18,2142.85,412.17,2218.28,432.23,2255.53,442.13,2282.54,452.66,2312.25,463.48,2291.42,470.79,2210.52,475.21,2146.86,474.35,2012.43,463.07,1904.54
"2236","f11_frame_rep1","f11","1","taɮaːr","ATR","a","aː",665.4,1702.05,658.17,1671.65,672.54,1640.73,694.07,1612.66,730.42,1615.16,754.93,1603.24,760.72,1568.54,766.48,1555.82,772.23,1553.19,763.28,1545.44,508.92,1343.07,661.54,1393.49,732,1459.43,770.71,1493.23,789.19,1519.47,798.12,1517.18,798.06,1543.35,791.35,1551.18,782.7,1598.17,760.42,1649.2
"2237","f11_frame_rep1","f11","1","aʧ͡iɮ","non-harmonic","a","i",448.09,2365.11,461.86,2339.57,484.61,2260.56,530.27,2155.3,599.65,2085.5,637.96,2048.16,644.27,2042.1,616.92,1947.47,600.34,1833.4,568.73,2153.76,715.51,2110.77,524.65,1898.89,333.79,1687.01,331.73,1792.5,398.26,2013.31,450.2,2185.59,453.53,2196.24,456.86,2206.88,455.86,2189.39,453.25,2161.41
"2238","f11_frame_rep1","f11","1","tɔɮiːg","non-harmonic","ɔ","iː",714.8,1696.31,591.53,1507.31,633.84,1441.74,654.86,1366.82,685.21,1300.01,700.71,1228.41,696.95,1168.55,676.28,1137.99,645.83,1124.21,604.3,1088.87,436.91,2025.9,403.71,1903.91,445.27,1998.79,459.24,2133.47,459.38,2251.97,443.27,2415.83,394.99,2321.53,303.65,2568.44,284.58,1972.49,494.26,1981.22
"2239","f11_frame_rep1","f11","1","sʊɮaːr","ATR","ʊ","aː",442.05,1689.04,386.8,1648.16,373.11,1577.27,406.4,1472.49,439.69,1367.7,455.5,1324.63,469.39,1288.32,477.67,1240.9,474.68,1171.21,471.69,1101.52,692.04,2036.14,623.45,1333.79,658.56,1411.78,674.15,1442.13,686.6,1457.13,694.42,1490,694.7,1529.32,685.35,1542.91,675.87,1553.13,660.4,1567.82
"2240","f11_frame_rep1","f11","1","teːɮeːr","ATR","eː","eː",421.56,2231.37,428.1,2211.65,432.02,2193.1,436.03,2212.22,439.01,2207.29,439.87,2182.46,441.86,2182.52,440.97,2179.51,434.88,2184.47,421.74,2174.85,433.23,2188.32,439.27,2181.54,455.32,2233.61,460.72,2268.28,461.03,2270.07,463.95,2258.55,467.79,2230.89,471.47,2181.06,467.84,2127.42,456.01,2052.18
"2241","f11_frame_rep1","f11","1","pɔːtɔɮ","rounding","ɔː","ɔ",545.13,1026.94,578.07,1018.23,608.42,1011.24,622.98,1004.66,637.85,1002.94,658.27,1017.18,675.28,1029.47,684.25,1040.03,683.11,1071.29,687.93,1151.61,729.92,2391.05,721.55,2465.48,691.75,2158.1,661.96,1850.73,640.83,1630.42,652.12,1735.55,663.41,1840.68,674.7,1945.81,806.15,1986.64,943.78,2024.16
"2242","f11_frame_rep1","f11","1","atiɮ","non-harmonic","a","i",422.15,2395.27,421.8,2332.37,476.76,2260.52,529.65,2168.82,584.68,2011.12,616.03,2053.66,636.6,2094.26,609.13,2119.13,587.91,2145.85,557.23,2138.89,433.97,2077.99,437.7,2081.55,441.43,2085.1,445.16,2088.65,446.65,2077.89,447.56,2063.42,448.47,2048.95,449.23,2037,449.27,2037.2,449.31,2037.41
"2243","f11_frame_rep1","f11","1","ʦ͡eːɮper","ATR","eː","e",368.73,1982.85,424.04,2060.2,442.93,2110.1,451.97,2112.2,463.06,2106.8,466.45,2113.77,466.58,2096.12,468.46,2052.04,460.36,2018.4,357.05,1926.7,338.06,1739.21,316.37,1589.3,293.58,1424.51,290.65,1317.57,320.57,1306.35,350.49,1295.14,372.76,1358.75,393.47,1437.67,413.45,1508.31,431.6,1558.06
"2244","f11_frame_rep1","f11","1","tuːguːr","ATR","uː","uː",387.22,1795.68,393.06,1339.29,402.15,1100.66,398.71,936.13,411.13,896.37,427.16,818.92,418.66,771.72,410,745.81,405.4,736.41,383.93,721.96,423.24,726.05,435.2,739.79,447.28,758.25,443.1,788.45,435.78,824,440.42,878.83,442.23,915.61,440.04,926.8,438.04,938.41,436.3,954.76
"2245","f11_frame_rep1","f11","1","ʃiɮijg","ATR","i","i",402.34,2316.73,317.87,2302.98,315.32,2311.78,315.85,2327.42,336.56,2387.71,355.65,2440.78,356.97,2414.69,358.03,2389.28,351.82,2382.69,345.6,2376.09,689.04,2360.26,278.42,2267.99,293.04,2274.96,318.62,2256.64,349.69,2225.46,360.46,2234.8,374.61,2237.92,393.27,2232.72,406.53,2233.75,417.55,2237.02
"2246","f11_frame_rep1","f11","1","minij","ATR","i","i",292.17,1730.63,323.58,2300.38,344.17,2543.04,350.72,2521.99,351.32,2516.9,352.39,2515.65,352.47,2512.32,348.45,2512.27,340.67,2513.6,331.72,2509.51,288.83,2335.71,281.32,2328.05,284.33,2382.82,287.33,2437.58,294.95,2466.64,306.8,2472.05,318.65,2477.46,319.15,2464.28,319.12,2450.23,321.31,2444.14
"2247","f11_frame_rep1","f11","1","suɮteːr","ATR","u","eː",490.02,1559.44,361.37,1480.62,305.49,1384.63,323.67,1266.66,336.71,1139.54,340.39,1159.1,339.58,1249.94,339.71,1328.34,346.2,1529.87,331.47,1691.92,416.22,2177.04,451.85,2202.03,458.16,2226.87,461.48,2246.24,465.45,2252.19,468.28,2255.01,470.45,2249.92,468.01,2162.63,462.62,2012.43,452.46,1906.94
"2248","f11_frame_rep1","f11","1","suːɮijg","non-harmonic","uː","i",438.79,1534.81,384.75,1265.72,404.12,1096.45,397.88,984,386.86,868.03,369.21,816.84,370.15,809.28,390.21,890.98,402.14,1085.68,374.74,1232.71,729.85,2272.02,497.58,2358.95,313.2,2452.51,323.72,2355.42,339.03,2346.17,358.48,2412.97,362.02,2418.46,365.53,2419.72,375.25,2432.07,383.65,2436.65
"2249","f11_frame_rep1","f11","1","taɮʊːɮ","ATR","a","ʊː",689.29,1858.84,676.31,1652.59,740.37,1627.72,783.06,1608.32,816.99,1566.89,815.61,1503.22,811.43,1485.29,793.61,1489.25,757.87,1493.1,684.57,1443.9,386.74,1271.92,483.24,1208.6,517.54,1183.67,527.43,1094.48,524.65,1054.37,521.22,1032.55,517.53,1020.04,516.54,1026.23,523.65,1051.8,534.55,1086.46
"2250","f11_frame_rep1","f11","1","ʃiɮeːr","ATR","i","eː",586.01,2388.05,504.07,2377.78,419.74,2369.42,371.55,2476.59,325.31,2590,337.75,2460.05,353.37,2316.92,353.44,2359.17,352.67,2411.48,346.91,2388.28,344.04,2183.92,405.07,2178.62,426.05,2188.19,436.21,2170.78,447.14,2175.3,454.97,2154.14,459.95,2117.97,463.17,2095,457.83,2060.89,445.01,2017.33
"2251","f11_frame_rep1","f11","1","tɔːgʊːr","ATR","ɔː","ʊː",590.45,1617.93,645.22,1505.55,662.05,1421.84,675.83,1382.95,679.7,1361.52,684.15,1348.28,689.55,1351.9,685.17,1294.19,681.67,1193.46,678.14,1135.24,492.74,785.21,506.89,781.81,527.32,806.58,551.27,840.93,580.4,911.07,616.36,997.1,614.08,1067.13,619.85,1134.2,637.29,1183.71,630.76,1204.42
"2252","f11_frame_rep1","f11","1","soɮor","rounding","o","o",1398.63,2206.64,864.64,1747.34,372.99,1300.9,378.76,1270.66,383.52,1264.95,387.38,1281.14,390.56,1326.79,391.46,1377.98,384.02,1433.27,369.8,1465.04,824.55,1795.41,758.47,1786.05,648.96,1775.64,559.47,1751.51,514,1697.22,468.53,1642.92,469.04,1609.81,479.8,1581.42,488.76,1570.26,493.95,1595.23
"2253","f11_frame_rep1","f11","1","ʦ͡ʊːriːg","non-harmonic","ʊː","iː",467.92,1505.41,512.48,1406.84,556.45,1285.6,575.68,1184.75,578.9,1120.7,572.14,1106.93,571.66,1105.95,571.41,1103.33,579.38,1115,588.96,1149,487.63,1658.61,514.01,1734.68,508.93,1885.65,501.52,2167.64,492.53,2298.4,478.98,2411.75,460.01,2458.98,386.25,2497.83,307.45,2519.84,735.16,2257.74
"2254","f11_frame_rep1","f11","1","pʊɮʊːr","ATR","ʊ","ʊː",838.21,2355.08,240.64,1141.02,418.38,1121.92,510.27,1125.1,558.47,1137.26,578.03,1151.28,586.16,1163.24,591.04,1177.64,594.02,1195.74,593.28,1222.5,425.49,2437.04,554.87,2213.64,502.2,1435.31,547.93,1386.34,581.68,1377.75,602.89,1367.6,612.83,1345.46,614.54,1316.76,613.47,1313.99,609.57,1309.93
"2255","f11_frame_rep1","f11","1","ʦ͡ʊraɮtʰ","ATR","ʊ","a",456.72,1472.62,488.08,1457.53,513.61,1422.68,531.71,1392.21,545.86,1357.63,558.54,1305.5,570.58,1281.81,578.3,1264.78,579.85,1249.02,596.5,1256.95,599.81,1333.47,609.49,1343.13,619.17,1352.78,628.03,1362.28,633.42,1371.09,638.8,1379.89,644.19,1388.7,647.46,1405.83,650.37,1424.37,653.28,1442.9
"2256","f11_frame_rep1","f11","1","ʦ͡ʊːrʊːɮ","ATR","ʊː","ʊː",452.14,1508.6,472.35,1463.35,491.3,1407.49,509.67,1338.15,527.98,1287.62,535.88,1253.17,547.94,1211.86,557.15,1191.91,561.03,1183.2,562.84,1194.32,496.15,1324.44,516.9,1309.67,526.72,1266.63,537.69,1238.4,549.33,1218.29,561,1197.14,567.25,1175.57,570.46,1159.92,570.92,1154.27,573.37,1179.58
"2257","f11_frame_rep1","f11","1","tʊːɮaɮ","ATR","ʊː","a",686.81,1737.06,506.45,1511.25,530.36,1358.59,539.54,1237.55,545.63,1164.57,551.9,1106.7,552.49,1087.19,562.66,1092.67,577.44,1111.42,587.19,1159.73,496.25,1610.95,513.85,1348.92,550.88,1302.91,567.02,1295.24,573.05,1295.9,571.4,1305.29,563.37,1327.68,549.38,1365.14,499.61,1387.98,429,1479.05
"2258","f11_frame_rep1","f11","1","pɔːɮɔːr","rounding","ɔː","ɔː",424.89,1128,561.83,1126.65,629.32,1177.95,659.36,1184.25,692.56,1184.04,723.62,1175.8,740.93,1151.46,748.97,1105.75,754.9,1087.99,740.31,1081.25,954.02,2186.96,549.63,1900.92,590.07,1423.27,657.14,1397.73,694.55,1387.16,711.22,1378.3,721.16,1397.25,724.43,1420.78,718.46,1433.07,703.34,1442.76
"2259","f11_frame_rep1","f11","1","purteɮ","ATR","u","e",346.8,1213.15,356.53,995.43,387.26,1026.28,401.67,1046.35,423.25,1076.66,428.79,1097.21,431.45,1108.17,434.44,1132.26,430.3,1203.22,422.34,1361.09,664.5,1958.96,533.89,1936.09,478.66,1910.18,484.52,1881.8,490.38,1853.42,493.63,1830.83,489.38,1824.9,485.13,1818.98,480.88,1813.05,476.64,1816.68
"2260","f11_frame_rep1","f11","1","sʊɮiːg","non-harmonic","ʊ","iː",938.1,2163.61,454.56,1614.87,490.01,1396.29,514.78,1204.4,504.07,1101.17,503.24,1032.77,533.16,1072.92,556.94,1104.04,562.69,1108.72,565.66,1115.18,599.24,2044.54,403.98,1983.53,472.4,2040.42,483.21,2114.25,482.22,2197.73,468.18,2333.03,423.65,2431.1,312.62,2448.71,348.4,2130.76,499.25,1996.62
"2261","f11_frame_rep1","f11","1","toɮo:r","ATR","o","o:",408.02,1925.54,394.72,1806.68,398.96,1712.51,402.28,1628.72,405.21,1537.73,407.48,1445.87,408.85,1454.01,409.17,1508.97,407.45,1578.12,392.19,1637.2,921.8,2295.5,462.26,1738.45,475.65,1656.94,490.69,1596.77,496.94,1500.88,500.9,1443.24,506.6,1413.67,512.55,1399.72,514.39,1399.48,511.03,1419.42
"2262","f11_frame_rep1","f11","1","tuːɮger","ATR","uː","e",340.79,1649.23,402.76,1464.33,436.02,1154.1,441.16,1023.14,438.06,913.42,428.73,915.48,433.53,915.79,462.97,939.74,442.93,992.44,423.14,1112.69,287.24,1920.16,336.37,1949.6,374.46,1906.67,397.46,1764.93,420.46,1623.2,430.82,1620.01,440.53,1623.84,445.89,1623.96,446.55,1620.06,447.18,1616.24
"2263","f11_frame_rep1","f11","1","ʦ͡ʊrgʊːɮ","ATR","ʊ","ʊː",446.02,1549.12,466.64,1535.49,492.34,1517.26,511.42,1490.34,526.11,1459.66,536.61,1428.54,542.12,1409.52,546.25,1399.75,549.15,1389.73,550.67,1374.17,590.11,997.57,563.87,939.78,567.95,943.46,572.5,962.48,572.87,986.22,576.12,999,581.72,1020.82,594.97,1046.6,609.36,1090.28,616.89,1162.92
"2264","f11_frame_rep1","f11","1","tijɮeɮtʰ","ATR","i","e",406.58,2307.04,327.01,2315.38,335.96,2326.41,344.87,2337.51,350.79,2354.01,356.7,2370.52,360.77,2382.35,363.16,2389.95,365.51,2397.41,366.53,2401.01,336.44,2186.08,367.58,2199.01,391.64,2189.3,414.99,2180.15,427.23,2179.46,439.46,2178.78,448.08,2181.62,453.55,2187.53,458.95,2193.33,457.11,2185.51
"2265","f11_frame_rep1","f11","1","toɮijg","non-harmonic","o","i",852.54,1925.69,465.2,1787.94,404.23,1701.25,408.13,1631.56,411.06,1571.41,406.8,1519.25,405.34,1449.49,405.17,1440,404.15,1523.86,400.5,1678.15,717.02,2343.82,456.98,2246.96,365,2231.75,387.41,2320.18,394.41,2373.21,386.45,2391.83,387.61,2409.78,391.62,2423.18,401.02,2413.84,409.55,2388.64
